app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
94530,Back to the Future: Ep 5 - OUTATIME,0.0,0,0,0,0.0,0.0,0.0,False,2.37,2.78,1.1729957805907172,True
94590,Puzzle Agent 2,0.0,0,52,0,0.0,59.12115384615384,12.5,False,3.17,4.15,1.3091482649842272,True
96300,Ravaged Zombie Apocalypse,0.0,0,62,0,0.0,4.629032258064516,0.6,False,2.35,20.0,8.51063829787234,True
98800,Dungeons of Dredmor,0.23333333333333334,1392368903,123,1,0.008130081300813009,11.247154471544716,0.0,False,18.49,81.47,4.406165494862088,True
98900,Alien Hallway,0.0,0,20,0,0.0,43.78000000000001,17.8,False,2.22,5.32,2.3963963963963963,True
99400,Garshasp: The Monster Slayer,0.0,0,36,0,0.0,18.647222222222226,4.4,False,3.42,7.36,2.1520467836257313,True
99410,Garshasp: Temple of the Dragon,0.0,0,0,0,0.0,0.0,0.0,False,1.48,1.48,1.0,True
104200,BEEP,0.0,0,0,0,0.0,0.0,0.0,False,5.27,6.91,1.3111954459203037,True
105600,Terraria,55.53333333333333,1690480726,137,30,0.21897810218978103,26.719708029197086,0.4,False,51.79,205.65,3.970843792237884,True
107100,Bastion,0.18333333333333332,1404496532,24,0,0.0,17.93333333333333,1.6,False,6.24,20.47,3.2804487179487176,True
107300,Breath of Death VII ,0.5166666666666667,1383254321,0,0,0.0,0.0,0.0,False,5.16,7.1,1.375968992248062,True
107310,Cthulhu Saves the World ,0.7666666666666667,1383495238,0,0,0.0,0.0,0.0,False,7.71,13.69,1.775616083009079,True
108710,Alan Wake,0.5166666666666667,1502490961,67,2,0.029850746268656716,20.50746268656716,2.4,False,11.18,27.32,2.4436493738819323,True
113200,The Binding of Isaac,19.266666666666666,1415193462,99,38,0.3838383838383838,14.597979797979788,1.6,False,10.88,141.03,12.962316176470587,True
115100,Costume Quest,0.06666666666666667,1391776269,21,0,0.0,27.095238095238102,10.5,True,5.55,7.46,1.3441441441441442,True
115110,Stacking,0.0,0,21,0,0.0,14.633333333333335,7.4,False,3.98,9.03,2.2688442211055273,True
200170,Worms Revolution,0.0,0,34,0,0.0,10.300000000000002,1.0,True,18.92,49.87,2.6358350951374203,True
200260,Batman: Arkham City GOTY,20.683333333333334,1429460345,64,33,0.515625,22.581250000000004,2.4,False,13.5,59.19,4.384444444444444,True
200710,Torchlight II,0.0,0,119,0,0.0,26.894117647058827,0.7,True,20.75,80.21,3.8655421686746987,True
